STATE,Census Region,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New Jersey beer consumption,Mid Atlantic,4208441.0,4314889.0,4374093.0,4462008.0,4514898.0,4436343.0,4629351.0,4680859.0,4712090.0,4645733.0,4689443.0,4872529.0,4981470.0,5235870.0,5311114.0,5260353.0,5265137.0,5223924.0,5210954.0,5276251.0,5313795.0,5204495.0,5112422.0,5240440.0,4984740.0,4895884.0,4924037.0,4831298.0,4803697.0,4709546.0,4682021.0,4672682.0,4657493.0,4673887.0,4833256.0,4852477.0,4736193.13,4811389.77,4822568.55,4887247.64,4757423.93,4779659.58,4668612.77,4758292.61,4589714.45,4613017.77,4522253.77,4512917.16,4557204.23,4543072.36,4442360.1,4342674.68,4408167.29,4283666.39,2515000.0
New Mexico beer consumption,Mountain,490048.0,530017.0,568613.0,602083.0,664940.0,750466.0,770318.0,893691.0,901262.0,974465.0,1055548.0,1077291.0,1130554.0,1144965.0,1233453.0,1234148.0,1313598.0,1299542.0,1344533.0,1332076.0,1345244.0,1326207.0,1375891.0,1330644.0,1355034.0,1363874.0,1373900.0,1353900.0,1450831.0,1502050.0,1505654.96,1501995.0,1559661.0,1575664.0,1601239.0,1611664.0,1632266.22,1608582.87,1557761.45,1625172.12,1618664.87,1662150.48,1614745.5,1575516.19,1544380.92,1551901.73,1487647.55,1516011.94,1480246.92,1415605.66,1408223.16,1393792.96,1367116.52,1383472.07,799000.0
New York beer consumption,Mid Atlantic,11050565.0,11043124.0,11385811.0,11536043.0,11536962.0,11415917.0,11580686.0,11752823.0,11708978.0,11405377.0,11987840.0,11978349.0,12451346.0,12610539.0,12760787.0,12907687.0,12696278.0,11874552.0,11910116.0,11659539.0,12005970.0,11979408.0,11593495.0,11856992.0,11435960.0,11010000.0,10600000.0,10455000.0,10406157.0,10335811.0,10096516.87,10182484.0,10126253.0,10164810.0,10708066.0,10506744.0,10436243.0,10294419.44,10398721.65,10527938.74,10582617.62,10740761.67,10480686.95,10671561.62,10674979.35,10884229.43,10815700.18,10760044.17,10746574.24,10744481.89,10563994.54,10308859.61,10278339.9,9549127.68,5804289.94
North Carolina beer consumption,South Atlantic,1446561.0,1573485.0,1751809.0,1915663.0,2135574.0,2247874.0,2495306.0,2740364.0,2845519.0,2997846.0,3221317.0,3400574.0,3488790.0,3680615.0,3720468.0,3683335.0,3854124.0,3931384.0,3974657.0,4091630.0,4128686.0,4201459.0,4300448.0,4473454.0,4388994.0,4575616.0,4674133.0,4751892.0,4753703.0,4981624.0,5105518.0,5126684.0,5335422.0,5590081.0,5683646.0,5879128.0,5763836.7,5929747.03,5957999.52,6139983.92,6048880.6,6183784.33,6040553.5,6109484.17,6072168.51,6132485.91,6093715.94,6109140.26,6021265.39,6174013.1,6065167.97,6253105.16,6298678.61,6544547.97,3774278.26
North Dakota beer consumption,West North Central,341832.0,355269.0,367297.0,388313.0,413910.0,425764.0,434947.0,457401.0,480428.0,500784.0,497955.0,513807.0,540776.0,558914.0,573282.0,573808.0,566924.0,531059.0,510735.0,503385.0,504358.0,519238.0,522487.0,549071.0,535014.0,521437.0,523674.0,531467.0,527177.0,551996.0,546493.0,559652.0,559304.0,572588.0,611745.0,618690.0,635017.48,623772.12,643783.59,660221.08,629282.9,628377.32,630985.82,649647.28,672912.03,750449.82,750616.18,755514.27,717451.27,683988.12,676015.06,667015.56,667638.61,667014.86,409000.0
Ohio beer consumption,East North Central,6257706.0,6374712.0,6380476.0,6768702.0,6765139.0,6735061.0,7023224.0,7061028.0,7285026.0,7329794.0,7606493.0,7815794.0,8202682.0,8477433.0,8218852.0,8548781.0,8286726.0,8629925.0,8384943.0,8114926.0,8330223.0,8313022.0,8409528.0,8354191.0,8325390.0,8190261.0,8216177.0,8238399.0,8203797.0,8406418.0,8296894.0,8550931.0,8592717.0,8493144.0,8601604.0,8682331.0,8760271.56,8702382.0,8584282.95,8614876.0,8722709.0,8671658.0,8549774.0,8404721.0,8200580.0,8129774.0,8211421.0,7960443.0,7892666.0,7818652.0,7679223.0,7478827.0,7393000.0,7133000.0,4190000.0
Oklahoma beer consumption,West South Central,829980.0,912945.0,988953.0,1070982.0,1129034.0,1233706.0,1323987.0,1429959.0,1476460.0,1550464.0,1718308.0,1756830.0,1809879.0,1930287.0,2076811.0,2120445.0,1963095.0,1892155.0,1922437.0,1947210.0,1922297.0,1912636.0,1915980.0,1994090.0,2021792.0,2062671.0,2087090.0,2145277.0,2111580.0,2118362.0,2149164.0,2200799.0,2265363.0,2213729.0,2270776.0,2207627.0,2256670.31,2282280.92,2268256.83,2359253.0,2405497.21,2494793.59,2469881.93,2466610.39,2487956.62,2484158.54,2389650.16,2353853.16,2339745.77,2338943.54,2281826.07,2231986.58,2233943.22,2476844.14,1454494.26
Oregon beer consumption,Pacific,1124917.0,1142014.0,1222623.0,1316054.0,1401063.0,1472592.0,1490329.0,1583312.0,1633866.0,1700976.0,1790674.0,1865927.0,1990400.0,2046810.0,2071822.0,2001321.0,1982477.0,1947142.0,1912661.0,1959921.0,1985119.0,2021475.0,2048842.0,2148886.0,2139880.0,2200299.0,2174662.0,2205564.0,2230889.0,2302580.0,2281990.0,2339624.0,2384037.0,2391559.0,2469800.0,2500789.0,2536123.48,2558021.23,2657610.3,2759511.72,2858653.94,2824071.51,2893614.1,2844297.98,2776801.35,2824541.11,2802311.24,2935568.44,2949636.02,3036273.06,3078199.34,3079919.09,3058409.15,2890807.24,1671303.62
Pennsylvania beer consumption,Mid Atlantic,7529669.0,7767183.0,7865519.0,8011010.0,8173039.0,8228207.0,8441064.0,8566101.0,8838613.0,8852639.0,9067736.0,9217127.0,9617654.0,9950346.0,9808545.0,9938605.0,9775562.0,9573351.0,9509800.0,9671224.0,9674586.0,9776922.0,9552763.0,9878671.0,9499264.0,9106623.0,9220961.0,9083249.0,8703058.0,8694910.0,8576348.0,8678532.0,8642803.0,8709865.0,8859097.0,8976351.34,8651389.35,8601724.98,8579334.12,8680290.89,9106706.1,8963291.79,8756210.6,8894102.47,8832362.28,8766837.3,8515212.2,8472949.71,8310385.29,8363058.42,8195584.68,8084254.03,8121662.26,7761038.47,4679000.0
Rhode Island beer consumption,New England,614272.0,629241.0,642701.0,656780.0,667415.0,715669.0,706380.0,716235.0,731536.0,726925.0,739543.0,755202.0,788245.0,808946.0,758991.0,755906.0,832251.0,779184.0,802597.0,817599.0,813721.0,811352.0,799467.0,777835.0,785963.0,734964.0,720268.0,698536.0,707627.0,691873.0,729011.0,689391.0,696935.0,707004.0,731054.0,732019.0,720813.54,715912.25,690237.25,689483.62,685932.29,687149.68,674184.98,683089.69,663765.79,661951.86,640955.71,650330.75,625261.26,603228.18,598903.42,586032.74,562014.98,521813.68,306000.0
South Carolina beer consumption,South Atlantic,823044.0,934589.0,993529.0,1061194.0,1177357.0,1293140.0,1431475.0,1570194.0,1643938.0,1720139.0,1847673.0,1968419.0,2015891.0,2118190.0,2206267.0,2216481.0,2299529.0,2341645.0,2385989.0,2493617.0,2601412.0,2680034.0,2722189.0,2876440.0,2731242.0,2766700.0,2846100.0,2922700.0,2945384.0,3028173.0,3103436.0,3202145.0,3283276.0,3358582.0,3394895.0,3466761.0,3445413.47,3570443.76,3512253.69,3689408.89,3656458.74,3726460.22,3685083.53,3617174.36,3627171.02,3631748.24,3631917.44,3640816.19,3649456.77,3738000.0,3711000.0,3665000.0,3776948.03,4086418.52,2385000.0
South Dakota beer consumption,West North Central,279548.0,294418.0,304533.0,322343.0,344691.0,368588.0,378999.0,394383.0,406638.0,429302.0,442818.0,460505.0,473318.0,500238.0,502204.0,494681.0,504571.0,494934.0,477424.0,484218.0,490799.0,483977.0,499113.0,525004.0,532661.0,541956.0,542212.0,565496.0,557055.0,573844.0,573406.0,601786.0,611442.0,624155.0,635478.0,656514.0,662120.73,681900.28,676936.8,690217.1,704960.34,710730.4,719902.25,718867.43,710723.36,742952.3,736456.76,760020.83,761107.85,768000.0,764000.0,766000.0,751000.0,768000.0,475000.0
Tennessee beer consumption,East South Central,1393208.0,1531369.0,1678186.0,1814187.0,2005796.0,2111774.0,2285727.0,2414669.0,2511299.0,2503183.0,2644973.0,2823287.0,2827298.0,2863139.0,2983201.0,2981338.0,2943934.0,2990920.0,3045632.0,3238195.0,3286003.0,3395723.0,3358722.0,3438345.0,3414707.0,3516164.0,3556317.0,3581711.0,3620465.0,3692504.0,3695130.0,3845871.0,3952732.0,4001309.0,3892474.0,3985092.0,4027047.71,4155045.78,4055231.72,4130983.14,4194909.95,4114563.55,4026751.41,3953793.64,3882163.66,3960792.62,3872602.86,3937553.98,3956468.82,4040894.87,3907905.69,3926210.26,3968052.13,3991961.3,2425384.73
Texas beer consumption,West South Central,6309885.0,6801283.0,7300428.0,7616939.0,8166794.0,8606301.0,9108204.0,9844656.0,10378631.0,10684911.0,11692486.0,12221705.0,13088829.0,13830998.0,15177363.0,15343415.0,15079432.0,15355576.0,15367855.0,15626093.0,14894057.0,14953130.0,15134123.0,15596032.0,15516307.0,16209481.0,16338224.0,16767609.0,16374412.0,16749947.0,16943907.0,17147913.0,17981159.0,17966620.0,18111647.0,18244864.0,18346744.49,18387719.16,18315480.2,18767958.19,18922879.1,19850555.77,19639433.93,19361420.61,19497727.55,19949354.58,19584472.48,19652623.1,19932303.1,20364994.26,20202010.77,19990345.48,20463325.03,21293204.26,12486450.81
Utah beer consumption,Mountain,314917.0,318776.0,352613.0,394046.0,418094.0,449023.0,481270.0,536570.0,549856.0,588160.0,631207.0,644306.0,671101.0,705870.0,765698.0,780221.0,702679.0,714491.0,730842.0,735226.0,704849.0,696263.0,699342.0,705141.0,731985.0,758125.0,774765.0,792202.0,779069.0,842851.0,861515.0,852191.0,937798.0,928923.0,956427.0,962801.0,958701.0,990159.15,972758.0,1020596.0,1139661.0,1165374.0,1114008.0,1103305.0,1111475.0,1196412.55,1184990.98,1153015.35,1182607.35,1192944.35,1229062.66,1212952.23,1279952.19,1404081.06,827000.0
Vermont beer consumption,New England,275680.0,290592.0,306534.0,319547.0,357506.0,372541.0,359430.0,349376.0,364769.0,374342.0,380588.0,412078.0,418626.0,414979.0,436073.0,437168.0,457840.0,449766.0,458605.0,482044.0,491262.0,486260.0,474833.0,473738.0,457707.0,440312.0,441089.0,436227.0,429889.0,442189.0,426972.0,435966.0,435342.0,440506.0,449481.0,455395.0,462872.9,465616.93,465345.08,469958.58,480925.85,479809.64,517556.18,528469.12,522786.77,534523.52,545015.31,524905.78,520463.37,508785.84,503550.65,516794.26,510058.7,525349.96,317701.16
Virginia beer consumption,South Atlantic,2078238.0,2219413.0,2448416.0,2727518.0,2628154.0,2501109.0,2722120.0,2961939.0,3126816.0,3171956.0,3413888.0,3571379.0,3669195.0,3763737.0,3843001.0,3922228.0,4027216.0,4076753.0,4119802.0,4377802.0,4478000.0,4523000.0,4642900.0,4785500.0,4662000.0,4635700.0,4640900.0,4577200.0,4450301.0,4429702.0,4458696.0,4697874.0,4871009.0,4862375.0,4899764.0,4961356.0,4976017.85,5043737.77,5068940.48,5175835.39,5305076.93,5251799.58,5213698.39,5190585.84,5098090.39,5108357.58,5064578.71,5016395.26,5031319.0,5047798.55,4924476.39,4929073.03,4971323.29,4982101.0,2915650.77
Washington beer consumption,Pacific,1802229.0,1926123.0,2064296.0,2156079.0,2258341.0,2286921.0,2431765.0,2569740.0,2652422.0,2745993.0,2827280.0,2978560.0,3152067.0,3270749.0,3317593.0,3210648.0,3148426.0,3057865.0,3054070.0,3143589.0,3205686.0,3255916.0,3361824.0,3518284.0,3495059.0,3665089.0,3552953.0,3602716.0,3565042.0,3591150.0,3625295.0,3697645.0,3681787.0,3714436.0,3723020.0,3871310.68,3951728.8,3994960.35,4030955.26,4161166.98,4394773.3,4403963.21,4236125.3,4124636.98,3989469.66,4009276.95,4015230.57,4200122.05,4313223.5,4259349.64,4257551.94,4282753.13,4352144.83,4400922.1,2699589.17
West Virginia beer consumption,South Atlantic,698079.0,729513.0,736457.0,810216.0,844158.0,854041.0,889330.0,902069.0,928363.0,954391.0,1011931.0,1005982.0,1019166.0,1101259.0,1160195.0,1219003.0,1273318.0,1237648.0,1228798.0,1209488.0,1215429.0,1214582.0,1211011.0,1253438.0,1250624.0,1230400.0,1269300.0,1264861.0,1232200.0,1234586.0,1230480.88,1265999.0,1275708.0,1274626.0,1311838.0,1360589.0,1348526.73,1373204.51,1359230.52,1372010.64,1392130.34,1426073.94,1387900.07,1376840.6,1365147.72,1367365.52,1348420.19,1305672.9,1281764.78,1257885.42,1218208.06,1224075.97,1191657.02,1223952.22,738137.06
Wisconsin beer consumption,East North Central,3627285.0,3714367.0,3846891.0,3918890.0,4070819.0,4152428.0,4315857.0,4413150.0,4720983.0,4606814.0,4648959.0,4751652.0,5023367.0,5201131.0,5245116.0,5223612.0,5215117.0,5064211.0,4951372.0,5042143.0,4886296.0,4830932.0,4737599.0,4816526.0,4641711.0,4535099.0,4598714.0,4643580.0,4619145.0,4585892.0,4769896.0,4912088.0,4714637.0,4741019.0,4784791.0,4890122.0,4855312.83,4877661.63,4929529.0,4965142.0,4993998.38,5042825.13,4950994.45,4913368.47,4827459.61,4859589.45,4896852.19,4847484.23,4880601.28,4815399.51,4745062.09,4747024.01,4698695.83,4712091.97,2749795.07
Wyoming beer consumption,Mountain,169631.0,181087.0,198534.0,221526.0,236011.0,256444.0,290737.0,332739.0,375174.0,389643.0,399139.0,425549.0,459546.0,474590.0,507411.0,485617.0,458223.0,433646.0,426480.0,401209.0,378572.0,365237.0,352767.0,366582.0,366560.0,372046.0,367761.0,383468.0,366703.0,381669.0,380640.0,389116.0,400765.0,406568.0,416731.0,424299.0,424962.75,447515.73,429987.54,438912.53,458459.9,477597.85,452740.77,444081.13,425024.25,443659.15,444728.03,445829.56,426970.45,403172.57,397539.7,411844.37,416043.14,410361.1,259000.0
